Symbol,MAE,MSE,RMSE,R2
000001,97.03270915956564,24083.91548872354,155.18993359339885,0.933238699345387
000002,90.91426564590671,13770.978885011618,117.34981416692409,0.9787867750994936
000062,6.175852370360811,87.0199074999771,9.328446146061898,0.9100030999059354
000158,1.9795220781165503,9.342717276223272,3.0565858856284853,0.9206651344897612
000300,44.42778304049504,3825.808316679607,61.853118892094734,0.9897735703303606
000612,1.931755533761816,11.849853775607407,3.442361656712933,0.9013592235269874
000888,2.608914004315721,14.368323963763292,3.7905572101952627,0.8874267002774443
000981,6.984169190934987,501.9351596833106,22.403909473199327,-148.79224196599293
000983,3.1618161162147755,15.688883210130172,3.9609194904883096,0.9687706204767169
002022,4.454033322813507,38.92921170639019,6.239327824885481,0.952883774776656
002164,0.6057188633897556,0.7363649183675729,0.8581170773079702,0.9449801900940193
002165,3.2907958911778694,31.216915194996417,5.58720996517908,0.18020701577625953
002194,1.8214728021030242,6.469929375020224,2.5436055855851993,0.9450675576055194
002261,5.584330616902091,80.69411215374969,8.982990156609862,0.9612719376058684
002300,0.9748106014789739,1.6833174429112558,1.2974272399295677,0.9616555898755581
002365,1.0790043729473575,1.9700385303710197,1.4035806105710564,0.9117608645217434
002383,15.751576291211686,573.3891389663767,23.94554528438174,-11.399191097390949
002404,0.5486078476661084,0.5521759972797619,0.7430854575886692,0.9064093058093897
002417,4.648607941528339,153.50454161465262,12.389694976659136,-6.403391342805234
002466,23.485876530945635,1040.4987850282978,32.25676339976312,0.9848155790266047
002469,1.3703181584587614,5.779973457864251,2.4041575359914025,0.9050126649903185
002553,1.9476050676608105,7.88749426920882,2.808468313727043,0.9355752232515442
002583,3.034247250198757,24.361596997056793,4.935746853015944,0.9144736529397985
002584,2.468332829338756,17.98205491045309,4.240525310672381,-0.5521683027492101
300134,2.1055473171591363,10.796448161291085,3.28579490554281,0.9009437023202203
300251,7.932259249368533,105.67866158774147,10.280012723131303,0.9552647849734694
300308,27.782211281329378,2948.0688347053688,54.29612172803292,0.9548040841428076
300432,5.33849547057719,87.5543227431746,9.35704668916291,0.9605063810204957
300607,47.61867565650935,10247.770611187385,101.23127289127301,-11.699396654565877
300750,692.4154147149453,534448.6379027477,731.0599413883568,-35.33305484223274
600149,1.6317969277413076,3.7621133140273266,1.9396167956654033,0.3511407935298725
600436,66.94265418155358,7332.605191485389,85.63063231978022,0.9273074466205324
600505,0.7755017120950078,1.411673768743686,1.1881387834523736,0.9145123413286377
600519,9669.66174332175,115213423.1606565,10733.751588361662,-99.13172482354311
600644,16.01439317821889,616.6680796181481,24.83280249223088,-1.7173745886820635
600678,3.0851309526049184,35.986856016816,5.998904568070407,-3.0084025107610204
600774,2.811099120116637,13.141440923005904,3.6251125393573513,0.96398844653294
600811,209.06628374750932,178082.28091531407,421.9979631648879,-375.8922740493465
600822,0.7353867698656494,0.8450737709293219,0.9192789407624444,0.9176366183985117
600887,67.99022395207395,7597.275411145253,87.1623508812449,0.9412420958541285
601001,1.5685980643779427,3.9246402845724506,1.981070489551659,0.9544187833666962
601086,0.5644948781366315,0.5693846662448898,0.7545758187517606,0.14833958485601562
601088,0.7636989742894751,1.0454421560629668,1.022468657741139,0.992110912827644
601138,0.8588437514595999,1.7827298135701206,1.335189055366363,0.9421854243770653
601566,0.4902877950448448,0.41076394624701035,0.6409086879166254,0.9036209774321938
601866,0.07752423104117519,0.011510873578378794,0.10728873928972599,0.9483047281248931
601888,28.501142668471672,1432.7525935280935,37.851718501649216,0.9388932931905472
601898,0.38273315154506754,0.29938625261323737,0.5471619985097991,0.9717521051891564
601899,0.676460949887161,0.9757594430262921,0.9878053669758492,0.9681910154416206
601908,1.5879662864367807,9.087341816609998,3.014521822214926,0.9184324753957227
603029,1.0458247584819382,3.157073784793556,1.7768156305012504,0.9301239881308443
603083,5.4978687724392055,71.68851539866057,8.466907073935593,0.9376432873430861
603300,1.1423406281528456,2.887951813492325,1.6993974854319178,0.9243130881136739
603359,15.249555582523032,1088.6038766834652,32.99399758567405,-25.805080441364353
603398,6.225481950797752,63.8538429648059,7.990859964034278,0.9142079852898771
603569,6.5502925314191,157.11358896566244,12.53449595977686,-19.257298998920238
603677,2.152816330208819,14.198985051811734,3.7681540642351306,-0.40414308921292275
603809,4.3212104639391855,38.8145179897088,6.230129853358499,0.5541447741579939
