date,code,action,price,shares,value,cost,hold_days
2021-04-16,601898,buy,8.03,11597.315778705684,93126.44570300664,93.12644570300664,0
2021-04-20,601001,buy,13.12,6387.537232327415,83804.48848813568,83.80448848813569,0
2021-05-06,000983,sell,49.34,931.0896255573582,45939.96212500006,45.93996212500006,73
2021-05-06,601898,sell,8.43,11597.315778705684,97765.37201448892,97.76537201448893,20
2021-05-07,601001,sell,16.56,6387.537232327415,105777.61656734199,105.777616567342,17
2021-05-10,601898,buy,9.34,10742.93425761089,100339.00596608571,100.33900596608571,0
2021-05-12,000983,buy,60.04,1503.9152476495756,90295.07146888052,90.29507146888052,0
2021-05-13,601898,sell,9.25,10742.93425761089,99372.14188290073,99.37214188290073,3
2021-05-20,000983,sell,50.83,1503.9152476495756,76444.01203802793,76.44401203802792,8
2021-05-26,000983,buy,54.66,1807.9138051874563,98820.56859154635,98.82056859154636,0
2021-06-01,000983,sell,55.83,1807.9138051874563,100935.82774361568,100.93582774361568,6
2021-06-02,601001,buy,16.7,5928.869393240705,99012.11886711977,99.01211886711978,0
2021-06-03,000983,buy,62.19,716.3611976887047,44550.502884260546,44.550502884260545,0
2021-06-03,601898,buy,8.91,5000.056440433283,44550.502884260546,44.550502884260545,0
2021-06-09,601001,sell,17.86,5928.869393240705,105889.60736327899,105.889607363279,7
2021-06-11,000001,sell,4119.89,13.1561192824866,54201.764270723725,54.20176427072373,73
2021-06-15,601001,buy,18.92,5083.251750387368,96175.12311732901,96.17512311732902,0
2021-06-18,601898,sell,8.99,5000.056440433283,44950.50739949521,44.95050739949521,15
2021-06-23,000983,sell,64.13,716.3611976887047,45940.243607776625,45.94024360777663,20
2021-06-24,000001,buy,3911.86,24.44565483399478,95627.97931891082,95.62797931891082,0
2021-06-25,601001,sell,17.86,5083.251750387368,90786.87626191838,90.78687626191838,10
2021-06-25,000983,buy,70.36,675.989394028237,47562.613763826754,47.562613763826754,0
2021-06-25,601898,buy,9.53,4990.830405438274,47562.613763826754,47.562613763826754,0
2021-07-01,000983,sell,63.93999999999999,675.989394028237,43222.76185416547,43.22276185416547,6
2021-07-06,000983,buy,64.91,1385.3203845534817,89921.1461613665,89.92114616136651,0
2021-07-08,000001,sell,3871.22,24.44565483399478,94634.50790645726,94.63450790645726,14
2021-07-08,000983,sell,63.03,1385.3203845534817,87316.74383840595,87.31674383840596,2
2021-07-09,601001,buy,16.3,6079.568679750034,99096.96947992555,99.09696947992555,0
2021-07-15,000983,buy,63.42,1406.1394329073637,89177.362834985,89.177362834985,0
2021-07-16,000001,buy,3648.56,21.995173113557954,80250.708815203,80.25070881520301,0
2021-07-26,000001,sell,3412.9,21.995173113557954,75067.32631926195,75.06732631926195,10
2021-07-26,000002,sell,3774.82,9.810638856481066,37033.39576822186,37.03339576822186,118
2021-07-27,601898,sell,9.25,4990.830405438274,46165.181250304035,46.16518125030404,32
2021-08-02,601001,sell,17.28,6079.568679750034,105054.94678608059,105.05494678608059,24
2021-08-03,000983,sell,65.17,1406.1394329073637,91638.10684257289,91.6381068425729,19
