date,actual,predicted,pred_return,signal,position,cash,total,returns
2021-12-09,131.97994948488017,132.22069812165284,,-1,0.0,1000000,1000000.0,
2021-12-10,129.84033941899682,132.69099802709965,0.003556931041266198,-1,0.0,1000000,1000000.0,0.0
2021-12-13,129.10519556440474,132.3099854013569,-0.0028714278391737125,-1,0.0,1000000,1000000.0,0.0
2021-12-14,124.49151994646948,132.3690214677349,0.0004461950940355397,-1,0.0,1000000,1000000.0,0.0
2021-12-15,124.29117576225777,130.8532669482325,-0.011450976238212118,-1,0.0,1000000,1000000.0,0.0
2021-12-16,125.42783075399696,128.84806949121173,-0.015324015240781419,-1,0.0,1000000,1000000.0,0.0
2021-12-17,124.42487567985285,127.7737998934136,-0.008337490829627092,-1,0.0,1000000,1000000.0,0.0
2021-12-20,124.09042019368418,127.2561345424005,-0.004051420177257903,-1,0.0,1000000,1000000.0,0.0
2021-12-21,124.55857559744793,127.19103216365566,-0.0005115853862679431,-1,0.0,1000000,1000000.0,0.0
2021-12-22,123.22116503713517,126.760233593538,-0.003387020002820318,-1,0.0,1000000,1000000.0,0.0
2021-12-23,122.75300963337143,127.0392136574682,0.002200848452399873,-1,0.0,1000000,1000000.0,0.0
2021-12-24,122.6863653667548,126.76095673011152,-0.0021903231242199617,-1,0.0,1000000,1000000.0,0.0
2021-12-27,122.08451004539596,125.52103863915715,-0.009781545697815197,-1,0.0,1000000,1000000.0,0.0
2021-12-28,121.75046594358916,124.762237371562,-0.006045211829202035,-1,0.0,1000000,1000000.0,0.0
2021-12-29,118.94194490536854,124.97458843509212,0.001702045971632371,-1,0.0,1000000,1000000.0,0.0
2021-12-30,119.41010030913228,124.06978388458832,-0.007239908223212299,-1,0.0,1000000,1000000.0,0.0
2021-12-31,117.13679032565388,123.0905464848284,-0.007892634041104074,-1,0.0,1000000,1000000.0,0.0
2022-01-04,118.34050096837154,122.73626982517926,-0.0028781792734408063,-1,0.0,1000000,1000000.0,0.0
2022-01-05,121.61635464163224,122.06976890634454,-0.005430350130275818,-1,0.0,1000000,1000000.0,0.0
2022-01-06,121.41601045742053,123.253523390088,0.009697359914326409,-1,0.0,1000000,1000000.0,0.0
2022-01-07,121.95081012780088,123.36058777722468,0.0008686517366145452,-1,0.0,1000000,1000000.0,0.0
2022-01-10,121.88416586118424,123.90969952562286,0.004451273768165009,-1,0.0,1000000,1000000.0,0.0
2022-01-11,123.35486495473026,124.34929625738516,0.0035477184872956258,-1,0.0,1000000,1000000.0,0.0
2022-01-12,120.61381095184996,125.68000816257177,0.010701402784236258,-1,0.0,1000000,1000000.0,0.0
2022-01-13,120.48011103425486,125.45950172546236,-0.001754506864959593,-1,0.0,1000000,1000000.0,0.0
2022-01-14,116.13383525150977,124.44841618577652,-0.008059059104971955,-1,0.0,1000000,1000000.0,0.0
2022-01-17,115.39828001255584,123.12330858903478,-0.01064784621094439,-1,0.0,1000000,1000000.0,0.0
