date,open,true_price,predicted_price,cummax,drawdown,signal,position,cash,total,returns
2020-03-11,9.82,9.74,10.792082974016663,9.74,0.0,1,0.0,1000000.0,1000000.0,
2020-03-12,9.66,9.62,10.722030801177024,9.74,0.012320328542094557,1,103519.66873706004,999000.0,1999000.0,0.9990000000000001
2020-03-13,9.34,9.54,10.496915570795537,9.74,0.02053388090349087,1,103519.66873706004,1000000.0,1966873.706004141,-0.01607118258922413
2020-03-16,9.6,9.36,10.31394796937704,9.74,0.03901437371663252,1,103519.66873706004,1000000.0,1993788.8198757763,0.013684210526315743
2020-03-17,9.34,9.44,10.33504248380661,9.74,0.03080082135523621,1,103519.66873706004,1000000.0,1966873.706004141,-0.013499480789200269
2020-03-18,9.44,9.26,10.265243779718876,9.74,0.04928131416837787,1,103519.66873706004,1000000.0,1977225.6728778468,0.0052631578947368585
2020-03-19,9.26,9.22,10.281703364551069,9.74,0.05338809034907593,1,103519.66873706004,1000000.0,1958592.1325051761,-0.00942408376963344
2020-03-20,9.22,9.32,10.270825161635877,9.74,0.04312114989733059,1,103519.66873706004,1000000.0,1954451.3457556935,-0.0021141649048627142
2020-03-23,9.2,9.16,10.301193421781065,9.74,0.05954825462012321,1,103519.66873706004,1000000.0,1952380.9523809524,-0.0010593220338982468
2020-03-24,9.22,9.34,10.257564352452755,9.74,0.04106776180698155,1,103519.66873706004,1000000.0,1954451.3457556935,0.001060445387062403
2020-03-25,9.42,9.38,10.203595447838309,9.74,0.03696098562628331,1,103519.66873706004,1000000.0,1975155.2795031057,0.010593220338983134
2020-03-26,9.36,9.28,10.165529848635195,9.74,0.04722792607802884,1,103519.66873706004,1000000.0,1968944.099378882,-0.0031446540880503138
2020-03-27,9.34,9.28,10.05911809027195,9.74,0.04722792607802884,1,103519.66873706004,1000000.0,1966873.706004141,-0.001051524710830587
2020-03-30,9.22,9.22,10.013442514240742,9.74,0.05338809034907593,1,103519.66873706004,1000000.0,1954451.3457556935,-0.006315789473684275
2020-03-31,9.26,9.16,10.137567513883113,9.74,0.05954825462012321,1,103519.66873706004,1000000.0,1958592.1325051761,0.0021186440677967155
2020-04-01,9.14,9.14,10.083267241120335,9.74,0.06160164271047224,1,103519.66873706004,1000000.0,1946169.7722567287,-0.00634249471458781
2020-04-02,9.12,9.28,10.117295759022236,9.74,0.04722792607802884,1,103519.66873706004,1000000.0,1944099.3788819876,-0.0010638297872339608
2020-04-03,9.28,9.16,10.029572251737118,9.74,0.05954825462012321,1,103519.66873706004,1000000.0,1960662.5258799172,0.008519701810436597
2020-04-07,9.22,9.34,10.096793347597124,9.74,0.04106776180698155,1,103519.66873706004,1000000.0,1954451.3457556935,-0.0031678986272439813
2020-04-08,9.3,9.4,10.095790794193745,9.74,0.034907597535934275,1,103519.66873706004,1000000.0,1962732.9192546585,0.004237288135593431
2020-04-09,9.42,9.36,10.051165085732936,9.74,0.03901437371663252,1,103519.66873706004,1000000.0,1975155.2795031057,0.006329113924050667
2020-04-10,9.36,9.26,10.150739271044731,9.74,0.04928131416837787,1,103519.66873706004,1000000.0,1968944.099378882,-0.0031446540880503138
2020-04-13,9.22,9.2,10.250738607943058,9.74,0.055441478439425144,1,103519.66873706004,1000000.0,1954451.3457556935,-0.007360672975814997
