Model,MSE,RMSE,MAE,MAPE,R2
lstm,14386.798294526974,119.94498028065608,89.45307409806375,2.0073233918557203,0.9615386349210384
rf,29613.60529793094,172.086040392389,91.51387339606552,1.8548034818875856,0.920831608162514
lstm,13112.772058147671,114.51101282473958,84.12226810660962,1.8745885736308,0.9649445899636
rf,29613.60529793097,172.0860403923891,91.51387339606562,1.854803481887588,0.9208316081625136
lstm,9895.734239494515,99.4773051479307,73.77084477656108,1.6624061063143685,0.973544951453558
rf,29613.605297930964,172.08604039238907,91.51387339606558,1.8548034818875871,0.9208316081625136
lstm,33414.548922244125,182.79646857158957,134.40808701917297,2.9393031551423987,0.9106702451277048
rf,29613.605297930964,172.08604039238907,91.51387339606558,1.8548034818875871,0.9208316081625137
