date,actual,predicted,pred_return,signal,position,cash,total,returns
2021-12-28,157.88339663099924,159.49659752803376,,-1,0.0,1000000,1000000.0,
2021-12-29,156.1270702987519,159.32140156896267,-0.0010984306987508186,-1,0.0,1000000,1000000.0,0.0
2021-12-30,154.604652464535,157.80218126573075,-0.009535569535987998,-1,0.0,1000000,1000000.0,0.0
2021-12-31,158.35210811462417,156.7060518333051,-0.006946224847043214,-1,0.0,1000000,1000000.0,0.0
2022-01-04,162.62596969622723,157.93934621667194,0.007870113304103477,-1,0.0,1000000,1000000.0,0.0
2022-01-05,166.60733384434678,161.0709808094662,0.019828083804386942,-1,0.0,1000000,1000000.0,0.0
2022-01-06,165.90471386269144,164.61216666638248,0.02198525047230704,-1,0.0,1000000,1000000.0,0.0
2022-01-07,170.82260649049672,166.469058208896,0.011280402780171617,-1,0.0,1000000,1000000.0,0.0
2022-01-10,172.40361326016676,169.67982306752933,0.019287457339995706,-1,0.0,1000000,1000000.0,0.0
2022-01-11,173.22341111272834,171.85761420749628,0.012834708927650373,-1,0.0,1000000,1000000.0,0.0
2022-01-12,171.7595822139645,173.19057756651912,0.007756207748895294,-1,0.0,1000000,1000000.0,0.0
2022-01-13,168.7151937893128,173.79326476856883,0.0034799075707119265,-1,0.0,1000000,1000000.0,0.0
2022-01-14,163.85544285317854,173.99677379226264,0.0011709833747861609,-1,0.0,1000000,1000000.0,0.0
2022-01-17,164.8510075120995,172.2806941592649,-0.009862709495100153,-1,0.0,1000000,1000000.0,0.0
2022-01-18,169.06628015824944,170.55014680138282,-0.010044929098569022,-1,0.0,1000000,1000000.0,0.0
2022-01-19,170.88119542594984,170.9094377352086,0.00210665860196646,-1,0.0,1000000,1000000.0,0.0
2022-01-20,172.11111582668326,172.56347539628723,0.00967786029254425,-1,0.0,1000000,1000000.0,0.0
2022-01-21,169.35922483551502,174.6694301875643,0.012203942847353932,-1,0.0,1000000,1000000.0,0.0
2022-01-24,169.71031120445164,174.0038493286589,-0.003810517147681103,-1,0.0,1000000,1000000.0,0.0
2022-01-25,164.5580628348339,172.6747185518507,-0.00763851364171686,-1,0.0,1000000,1000000.0,0.0
2022-01-26,164.0312096595379,170.09435341281915,-0.014943502793413943,-1,0.0,1000000,1000000.0,0.0
2022-01-27,162.33347226274373,167.84669135093907,-0.013214207390088939,-1,0.0,1000000,1000000.0,0.0
2022-01-28,161.6894412165415,165.33597875306765,-0.014958368125481458,-1,0.0,1000000,1000000.0,0.0
2022-02-07,165.0849160101299,163.39434455936367,-0.011743567300640856,-1,0.0,1000000,1000000.0,0.0
2022-02-08,164.90959644755262,163.3408303558481,-0.0003275156411310931,-1,0.0,1000000,1000000.0,0.0
2022-02-09,162.68455863168035,163.878887774056,0.0032940778924395175,-1,0.0,1000000,1000000.0,0.0
2022-02-10,164.73382964119324,164.0501201224607,0.0010448713115551733,-1,0.0,1000000,1000000.0,0.0
2022-02-11,166.6659227797999,164.6306198400085,0.003538551005719981,-1,0.0,1000000,1000000.0,0.0
2022-02-14,161.16214079746345,166.0488608830666,0.008614685678984602,-1,0.0,1000000,1000000.0,0.0
2022-02-15,158.64460554810768,164.20221139786744,-0.011121121068693007,-1,0.0,1000000,1000000.0,0.0
2022-02-16,159.75734807793484,160.99753936224198,-0.01951661922421033,-1,0.0,1000000,1000000.0,0.0
2022-02-17,158.58601661265456,158.9426529100472,-0.012763464959370086,-1,0.0,1000000,1000000.0,0.0
2022-02-18,162.5673807607741,158.30854071764492,-0.003989565927033811,-1,0.0,1000000,1000000.0,0.0
2022-02-21,163.85544285317854,159.88007413025107,0.009927028608071709,-1,0.0,1000000,1000000.0,0.0
2022-02-22,163.50435648424192,162.53029927215812,0.01657633170565065,-1,0.0,1000000,1000000.0,0.0
2022-02-23,161.27931866836968,164.37878315568224,0.0113731648302009,-1,0.0,1000000,1000000.0,0.0
2022-02-24,158.82037235446705,164.8873700912767,0.003093993797926853,-1,0.0,1000000,1000000.0,0.0
2022-02-25,157.00545708676665,164.46928013971348,-0.002535609315205689,-1,0.0,1000000,1000000.0,0.0
2022-02-28,155.07336394815994,162.39408427749237,-0.01261752869872279,-1,0.0,1000000,1000000.0,0.0
2022-03-01,156.1270702987519,160.11718103278946,-0.01402085091235361,-1,0.0,1000000,1000000.0,0.0
2022-03-02,155.77598392981528,158.97901330541688,-0.00710834227801882,-1,0.0,1000000,1000000.0,0.0
2022-03-03,156.77110134495413,157.89904404871112,-0.006793156116971399,-1,0.0,1000000,1000000.0,0.0
2022-03-04,152.2042950860855,157.13646937837356,-0.0048295078347802,-1,0.0,1000000,1000000.0,0.0
2022-03-07,151.20917767094664,156.46514510566502,-0.004272237217523567,-1,0.0,1000000,1000000.0,0.0
2022-03-08,146.115518236782,155.1911663880197,-0.008142252491984525,-1,0.0,1000000,1000000.0,0.0
2022-03-09,142.07556515320934,152.80971335783187,-0.015345287271271268,-1,0.0,1000000,1000000.0,0.0
2022-03-10,140.84609199625802,149.5332814067801,-0.021441254479546035,-1,0.0,1000000,1000000.0,0.0
2022-03-11,140.14347201460268,144.61477905991254,-0.03289235881534369,-1,0.0,1000000,1000000.0,0.0
2022-03-14,136.86472784813847,140.47755569487447,-0.028608579233274978,-1,0.0,1000000,1000000.0,0.0
2022-03-15,129.3116748562891,138.00343279216335,-0.017612229159831405,-1,0.0,1000000,1000000.0,0.0
2022-03-16,133.468805810768,135.1396421928882,-0.020751589589717567,-1,0.0,1000000,1000000.0,0.0
2022-03-17,140.31879157717995,133.56065107756808,-0.011684144561122878,-1,0.0,1000000,1000000.0,0.0
2022-03-18,144.82745614437758,136.33854160766205,0.020798719590552572,-1,0.0,1000000,1000000.0,0.0
2022-03-21,141.02141155883527,139.41248000552133,0.022546364084669923,-1,0.0,1000000,1000000.0,0.0
2022-03-22,145.5882178177039,140.61758143367956,0.008644143107636504,-1,0.0,1000000,1000000.0,0.0
2022-03-23,147.5203109563106,142.46068223164295,0.013107186023055384,-1,0.0,1000000,1000000.0,0.0
2022-03-24,145.00277570695485,144.94304900777874,0.01742492551102237,-1,0.0,1000000,1000000.0,0.0
2022-03-25,144.59310040256509,146.09745334413472,0.007964537411476957,-1,0.0,1000000,1000000.0,0.0
2022-03-28,146.7009603475311,145.74771656825146,-0.0023938594950005943,-1,0.0,1000000,1000000.0,0.0
2022-03-29,145.00277570695485,146.31382499417853,0.0038841666906113126,-1,0.0,1000000,1000000.0,0.0
2022-03-30,153.7853018557555,147.16709319122498,0.005831767415556133,-1,0.0,1000000,1000000.0,0.0
2022-03-31,154.78041927089436,150.27334102148632,0.02110694560111459,-1,0.0,1000000,1000000.0,0.0
2022-04-01,163.62153435514816,154.31682444831154,0.026907523312781567,-1,0.0,1000000,1000000.0,0.0
2022-04-06,166.90027852161236,158.5128795882,0.027191170858326785,-1,0.0,1000000,1000000.0,0.0
2022-04-07,165.0849160101299,164.6338955513031,0.03861525939724819,1,6057.488619606157,999000,1999000.0,0.9990000000000001
2022-04-08,168.48083804750033,167.21980756146016,0.01570704502555631,-1,0.0,998001,998001.0,-0.5007498749374688
2022-04-11,164.08979859499104,168.25376399351492,0.006183217449731604,-1,0.0,1000000,1000000.0,0.0020030040050060816
2022-04-12,160.7524654930737,168.05751612985742,-0.00116638022829052,-1,0.0,1000000,1000000.0,0.0
2022-04-13,162.68455863168035,167.63799578436223,-0.002496290288921288,-1,0.0,1000000,1000000.0,0.0
2022-04-14,165.61221642920793,166.8332627096636,-0.004800421711876113,-1,0.0,1000000,1000000.0,0.0
2022-04-15,167.36854276145525,167.06117578250192,0.0013661129030064778,-1,0.0,1000000,1000000.0,0.0
2022-04-18,162.8603254380397,168.334914281319,0.0076243836597640335,-1,0.0,1000000,1000000.0,0.0
2022-04-19,163.62153435514816,167.4637607006042,-0.005175121182875442,-1,0.0,1000000,1000000.0,0.0
2022-04-20,155.95130349239255,165.89973958590028,-0.009339460120569743,-1,0.0,1000000,1000000.0,0.0
2022-04-21,155.65880605890905,163.72427420095246,-0.013113133211528627,-1,0.0,1000000,1000000.0,0.0
2022-04-22,158.64460554810768,159.94381947204334,-0.02309037402889358,-1,0.0,1000000,1000000.0,0.0
2022-04-25,152.9069150677408,157.738730737955,-0.013786645469434866,-1,0.0,1000000,1000000.0,0.0
