date,actual,predicted,open,cummax,drawdown,signal,position,cash,total,returns
2021-12-09,1.553003244522055,1.5494124996886207,1.5499388173528283,1.553003244522055,0.0,1,0.0,1000000.0,1000000.0,
2021-12-10,1.54862549142316,1.554427116466179,1.553003244522055,1.553003244522055,0.002818895011544006,1,643913.6579574599,999000.0,1999000.0,0.9990000000000001
2021-12-13,1.553003244522055,1.5534758957000616,1.5573809976209496,1.553003244522055,0.0,1,643913.6579574599,1000000.0,2002818.8950115438,0.0019104027071255025
2021-12-14,1.528487827168243,1.56064295005741,1.545123288944044,1.553003244522055,0.01578581206464689,1,643913.6579574599,1000000.0,1994925.9889792209,-0.003940898526562653
2021-12-15,1.5341789061968063,1.5323132376302844,1.5298011530979116,1.553003244522055,0.012121248549639668,1,643913.6579574599,1000000.0,1985059.8564388165,-0.004945613318443343
2021-12-16,1.598969652060452,1.530667305068688,1.5464366148737123,1.598969652060452,0.0,1,643913.6579574599,1000000.0,1995771.6574826837,0.005396210602477192
2021-12-17,1.5630720766495132,1.5877762886136677,1.5950296742714467,1.598969652060452,0.02245044198598809,1,643913.6579574599,1000000.0,2027061.3921108232,0.01567801331922203
2021-12-20,1.551252143282497,1.570612565316616,1.558256548240729,1.598969652060452,0.02984266068869132,1,643913.6579574599,1000000.0,2003382.6740138528,-0.011681302889555378
2021-12-21,1.570514256917635,1.556150870108711,1.553003244522055,1.598969652060452,0.017796082062063567,1,643913.6579574599,1000000.0,2000000.0,-0.0016884812161600538
2021-12-22,1.566574279128629,1.5614740992415683,1.5683253803681871,1.598969652060452,0.020260154962964967,1,643913.6579574599,1000000.0,2009866.132540404,0.004933066270202069
2021-12-23,1.591089696482441,1.5607653596117577,1.5617587507198447,1.598969652060452,0.004928145801802244,1,643913.6579574599,1000000.0,2005637.790023088,-0.002103793107838259
2021-12-24,1.5818964149747616,1.5644927555913466,1.5880252693132144,1.598969652060452,0.010677649237238195,1,643913.6579574599,1000000.0,2022551.1600923524,0.008432913536730702
2021-12-27,1.5967807755110046,1.5771328363124524,1.586711943383546,1.598969652060452,0.0013689293893894196,1,643913.6579574599,1000000.0,2021705.4915888892,-0.00041811970947847055
2021-12-28,1.5740164593967505,1.5929430405945144,1.6090384841879102,1.598969652060452,0.015605795039040578,1,643913.6579574599,1000000.0,2036081.8561477638,0.007111008313864797
2021-12-29,1.5740164593967505,1.5830467374694948,1.576205335946198,1.598969652060452,0.015605795039040578,1,643913.6579574599,1000000.0,2014940.1435611835,-0.010383527814829652
2021-12-30,1.559132098860508,1.5784013533313126,1.566574279128629,1.598969652060452,0.024914514886889075,1,643913.6579574599,1000000.0,2008738.5745357864,-0.003077793176742505
2021-12-31,1.5845230668340986,1.5681359845649447,1.5617587507198447,1.598969652060452,0.009034933969970781,1,643913.6579574599,1000000.0,2005637.790023088,-0.00154364761647241
2022-01-04,1.593716348341778,1.5825622761909648,1.6055362817087944,1.598969652060452,0.0032854305345348294,1,643913.6579574599,1000000.0,2033826.7401385286,0.014054855894551244
2022-01-05,1.5792697631154244,1.6029457214632168,1.5862741680736565,1.598969652060452,0.012320364504505748,1,643913.6579574599,1000000.0,2021423.6020877347,-0.006098424121392498
2022-01-06,1.5713898075374135,1.5867059982537577,1.5792697631154244,1.598969652060452,0.01724851030630799,1,643913.6579574599,1000000.0,2016913.3700692642,-0.0022312156708828024
2022-01-07,1.5840852915242092,1.5659119048312455,1.572703133467082,1.598969652060452,0.009308719847848637,1,643913.6579574599,1000000.0,2012685.027551948,-0.002096442306379731
2022-01-10,1.595905224891225,1.586356137385602,1.5836475162143195,1.598969652060452,0.0019165011451455485,1,643913.6579574599,1000000.0,2019732.2650808082,0.0035014110168205548
2022-01-11,1.5924030224121095,1.5945253469075342,1.5880252693132144,1.598969652060452,0.0041067881681685365,1,643913.6579574599,1000000.0,2022551.1600923524,0.0013956775659229592
2022-01-12,1.5980941014406729,1.5849363201535918,1.5945918989615568,1.598969652060452,0.0005475717557558512,1,643913.6579574599,1000000.0,2026779.5026096683,0.0020905985473924638
2022-01-13,1.613854012596695,1.591499843638618,1.6011585286098993,1.613854012596695,0.0,1,643913.6579574599,1000000.0,2031007.8451269846,0.0020862370632186433
2022-01-14,1.5845230668340986,1.6086213164346463,1.6099140348076892,1.613854012596695,0.018174472742675626,1,643913.6579574599,1000000.0,2036645.6351500726,0.002775858319117086
2022-01-17,1.578831987805535,1.5913931318988797,1.5884630446231038,1.613854012596695,0.02170086297632918,1,643913.6579574599,1000000.0,2022833.0495935068,-0.006782026935946539
2022-01-18,1.6204206422450371,1.5807879221460217,1.578831987805535,1.6204206422450371,0.0,1,643913.6579574599,1000000.0,2016631.4805681098,-0.0030657839146158716
2022-01-19,1.6278628225131588,1.611679718315031,1.6208584175549268,1.6278628225131588,0.0,1,643913.6579574599,1000000.0,2043692.8726789327,0.013419106252967605
2022-01-20,1.64406050897907,1.6305902409824455,1.6217339681747058,1.64406050897907,0.0,1,643913.6579574599,1000000.0,2044256.6516812416,0.00027586288030145845
2022-01-21,1.6497515880076337,1.6390025996327957,1.649313812697744,1.6497515880076337,0.0,1,643913.6579574599,1000000.0,2062015.6902539693,0.008687284230246783
2022-01-24,1.654567116416418,1.642623450870674,1.6497515880076337,1.654567116416418,0.0,1,643913.6579574599,1000000.0,2062297.5797551237,0.00013670579835389773
2022-01-25,1.623047294104374,1.6511817657972858,1.646687160838407,1.654567116416418,0.01905019264513838,1,643913.6579574599,1000000.0,2060324.3532470427,-0.0009568097870313874
2022-01-26,1.612978461976916,1.6366482614374442,1.623047294104374,1.654567116416418,0.025135670851223986,1,643913.6579574599,1000000.0,2045102.3201847048,-0.007388173147760968
2022-01-27,1.6265494965834904,1.6214068524379306,1.613854012596695,1.654567116416418,0.016933504573456177,1,643913.6579574599,1000000.0,2039182.6406604624,-0.002894563986269305
2022-01-28,1.5853986174538774,1.6297726186385355,1.616918439765921,1.654567116416418,0.041804589415720225,1,643913.6579574599,1000000.0,2041155.867168543,0.0009676556031497086
2022-02-07,1.6278628225131588,1.604416139097638,1.6094762594977998,1.654567116416418,0.016139746546575413,1,643913.6579574599,1000000.0,2036363.7456489182,-0.0023477489380917538
2022-02-08,1.6913402424471355,1.6243228050006369,1.649313812697744,1.6913402424471355,0.0,1,643913.6579574599,1000000.0,2062015.6902539693,0.012596936406799264
2022-02-09,1.668575926332882,1.6670128448328176,1.6922157930669148,1.6913402424471355,0.013459335704870729,1,643913.6579574599,1000000.0,2089640.861367101,0.013397168238680646
2022-02-10,1.7193578622800634,1.6665061728165955,1.6523782398669704,1.7193578622800634,0.0,1,643913.6579574599,1000000.0,2063988.91676205,-0.012275767132668314
2022-02-11,1.7416844030844276,1.681877506281706,1.7088512548427155,1.7416844030844276,0.0,1,643913.6579574599,1000000.0,2100352.6624109684,0.017618188428048853
2022-02-14,1.7268000425481849,1.72351863150153,1.7394955265349803,1.7416844030844276,0.008545957298511356,1,643913.6579574599,1000000.0,2120084.9274917766,0.009394739004523922
2022-02-15,1.6974690967855883,1.7205119990097506,1.716293435110837,1.7416844030844276,0.02538652021028403,1,643913.6579574599,1000000.0,2105144.783930593,-0.007046955226863827
2022-02-16,1.7014090745745942,1.6960010304833983,1.6974690967855883,1.7416844030844276,0.023124355043030755,1,643913.6579574599,1000000.0,2093023.5353809537,-0.005757916815112063
2022-02-17,1.706662378293268,1.7017514405712642,1.6930913436866937,1.7416844030844276,0.020108134820026862,1,643913.6579574599,1000000.0,2090204.64036941,-0.0013468052145102494
2022-02-18,1.7276755931679637,1.7021687686426348,1.7053490523635997,1.7416844030844276,0.008043253928010769,1,643913.6579574599,1000000.0,2098097.5464017335,0.003776140326111177
2022-02-21,1.7548176623811127,1.7171443167819551,1.7359933240558645,1.7548176623811127,0.0,1,643913.6579574599,1000000.0,2117829.8114825417,0.009404836831657049
2022-02-22,1.763135393269013,1.7394559212827168,1.744748830253654,1.763135393269013,0.0,1,643913.6579574599,1000000.0,2123467.6015056297,0.00266205999770186
