date,open,true_price,predicted_price,return,pred_return,volatility,signal,hold_days,code,position_weight,position,cash,total,trade
2020-03-11,2504.69,2491.69,2453.4054525375363,,,0.030781448435938906,0,0,000001,0.9701377547271098,0.0,1000000.0,1000000.0,
2020-03-12,2485.19,2490.07,2435.020359573364,-0.0006501611356147796,-0.007493703474554803,0.030781448435938906,0,0,000001,0.9701377547271098,0.0,1000000.0,1000000.0,
2020-03-13,2363.29,2464.06,2441.416724090576,-0.010445489484231407,0.002626821780796984,0.030781448435938906,0,0,000001,0.9701377547271098,0.0,1000000.0,1000000.0,
2020-03-16,2452.68,2338.92,2422.2444023895264,-0.050786100987800564,-0.007852949278124965,0.030781448435938906,-1,0,000001,0.9701377547271098,0.0,899900.0,999900.0,
2020-03-17,2338.92,2283.6599999999994,2363.4438665962216,-0.023626289056487892,-0.024275228269822202,0.030781448435938906,0,0,000001,0.9701377547271098,0.0,899900.0,997903.6297640654,
2020-03-18,2283.66,2169.89,2312.468316311836,-0.04981914996102732,-0.02156833551447923,0.030781448435938906,-1,0,000001,0.9701377547271098,0.0,809820.01,998358.1043738658,
2020-03-19,2165.01,2091.87,2240.7416628599167,-0.03595573969187382,-0.03101735619293433,0.030781448435938906,-1,0,000001,0.9701377547271098,0.0,809820.01,994827.3113242488,
2020-03-20,2119.5,2139.01,2174.996794743537,0.0225348611529399,-0.029340672870101336,0.030781448435938906,0,0,000001,0.9701377547271098,0.0,728757.026999,993820.5511541264,
2020-03-23,2054.49,2078.87,2156.0516792058943,-0.028115810585270906,-0.008710410784709577,0.030781448435938906,0,0,000001,0.9701377547271098,0.0,655808.4485964001,992555.8027872894,
2020-03-24,2119.5,2153.63,2114.6816822242736,0.03596184465599106,-0.019187850356563785,0.030781448435938906,0,0,000001,0.9701377547271098,0.0,655808.4485964001,992306.4818076884,
2020-03-25,2197.52,2195.8899999999994,2137.4362353563306,0.01962268356217156,0.010760273436578593,0.030781448435938906,1,1,000001,0.9701377547271098,9.94770542242164,590162.0228919005,996410.2082298787,
2020-03-26,2181.2600000000007,2226.77,2167.0010770368576,0.014062635195752238,0.013831917505412017,0.03172807756115986,1,2,000001,0.9692476358342791,9.94770542242164,590162.0228919005,994231.2092789199,
2020-03-27,2257.65,2241.4,2209.353668608665,0.006570054383703727,0.019544333420322912,0.03219351249560447,1,3,000001,0.9688105843469524,9.94770542242164,590162.0228919005,997278.9520627619,
2020-03-30,2192.64,2207.27,2227.634723687172,-0.015227090211475058,0.008274390532512443,0.028849920459479025,1,4,000001,0.9719590584731788,9.94770542242164,531086.8044004212,995268.8118744167,
2020-03-31,2225.15,2184.51,2188.7656978940963,-0.010311380121144964,-0.017448563438057674,0.028215510419739142,0,0,000001,0.9725587582235352,9.94770542242164,531086.8044004212,995152.7559260797,
