日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率,volatility
2010-03-05,002365,45.0,43.55,46.0,43.05,137646,607346355.06,9.52,40.48,12.55,73.22,2.950000000000003
2010-03-08,002365,45.21,43.95,45.99,43.68,76677,343312219.44,5.3,0.92,0.4,40.79,2.3100000000000023
2010-03-09,002365,42.8,44.06,44.49,41.1,71794,304698908.42,7.71,0.25,0.11,38.19,3.3900000000000006
2010-03-10,002365,43.3,42.63,43.79,42.4,31103,134115375.98,3.15,-3.25,-1.43,16.54,1.3900000000000006
2010-03-11,002365,42.6,42.85,43.55,41.44,40903,174100826.59,4.95,0.52,0.22,21.76,2.1099999999999994
2010-03-12,002365,42.38,43.12,43.88,41.68,43284,186173850.82,5.13,0.63,0.27,23.02,2.200000000000003
2010-03-15,002365,42.9,42.13,43.04,41.92,19157,81022942.66,2.6,-2.3,-0.99,10.19,1.1199999999999974
2010-03-16,002365,41.85,40.8,42.3,39.88,32720,134218483.34,5.74,-3.16,-1.33,17.4,2.4199999999999946
2010-03-17,002365,40.9,41.35,41.75,40.5,28549,117478500.53,3.06,1.35,0.55,15.19,1.25
2010-03-18,002365,41.29,40.5,41.34,40.0,22246,90763702.99,3.24,-2.06,-0.85,11.83,1.3400000000000034
2010-03-19,002365,40.38,40.6,40.96,40.32,13667,55494895.89,1.58,0.25,0.1,7.27,0.6400000000000006
2010-03-22,002365,40.5,41.07,41.34,40.41,16434,67317015.02,2.29,1.16,0.47,8.74,0.9300000000000068
2010-03-23,002365,41.1,40.51,41.19,40.33,13808,56108881.16,2.09,-1.36,-0.56,7.34,0.8599999999999994
2010-03-24,002365,40.55,41.45,41.6,40.0,27214,111831330.59,3.95,2.32,0.94,14.48,1.6000000000000014
2010-03-25,002365,41.4,42.0,42.3,41.05,28893,121081611.32,3.02,1.33,0.55,15.37,1.25
2010-03-26,002365,41.51,41.14,41.69,40.7,16917,69714594.1,2.36,-2.05,-0.86,9.0,0.9899999999999949
2010-03-29,002365,41.24,41.48,41.52,40.71,14423,59373746.71,1.97,0.83,0.34,7.67,0.8100000000000023
2010-03-30,002365,41.35,42.29,42.8,41.35,24427,103014201.32,3.5,1.95,0.81,12.99,1.4499999999999957
2010-03-31,002365,42.29,42.54,43.12,42.1,25838,110312348.21,2.41,0.59,0.25,13.74,1.019999999999996
2010-04-01,002365,42.5,42.66,43.4,42.33,26623,114532886.9,2.52,0.28,0.12,14.16,1.0700000000000003
2010-04-02,002365,42.35,42.33,42.77,42.0,15127,63852488.8,1.8,-0.77,-0.33,8.05,0.7700000000000031
2010-04-06,002365,42.5,43.39,43.39,42.1,17306,73990925.68,3.05,2.5,1.06,9.21,1.2899999999999991
2010-04-07,002365,43.93,43.92,44.25,43.15,21433,93750080.43,2.54,1.22,0.53,11.4,1.1000000000000014
2010-04-08,002365,43.93,42.7,43.99,42.62,21859,95031819.5,3.12,-2.78,-1.22,11.63,1.3700000000000045
2010-04-09,002365,42.53,42.76,42.96,42.5,13246,56619379.86,1.08,0.14,0.06,7.05,0.46000000000000085
2010-04-12,002365,42.81,42.46,42.99,42.09,20690,87801759.43,2.1,-0.7,-0.3,11.01,0.8999999999999986
2010-04-13,002365,42.57,40.86,42.97,39.8,26421,109432002.7,7.47,-3.77,-1.6,14.05,3.1700000000000017
2010-04-14,002365,40.6,42.45,42.77,40.19,21682,90892778.52,6.31,3.89,1.59,11.53,2.5800000000000054
2010-04-15,002365,42.47,41.49,43.28,41.02,14814,62385649.15,5.32,-2.26,-0.96,7.88,2.259999999999998
2010-04-16,002365,41.2,41.34,42.1,40.35,8801,36391921.6,4.22,-0.36,-0.15,4.68,1.75
2010-04-19,002365,41.02,40.08,41.34,40.08,11484,46600716.3,3.05,-3.05,-1.26,6.11,1.2600000000000051
2010-04-20,002365,40.3,39.35,40.49,38.56,16870,66060136.52,4.82,-1.82,-0.73,8.97,1.9299999999999997
2010-04-21,002365,39.35,40.24,40.3,39.0,13048,51878743.87,3.3,2.26,0.89,6.94,1.2999999999999972
2010-04-22,002365,39.89,40.42,40.97,39.7,11251,45472157.73,3.16,0.45,0.18,5.98,1.269999999999996
2010-04-23,002365,40.29,39.69,40.7,39.48,11485,46010724.06,3.02,-1.81,-0.73,6.11,1.220000000000006
2010-04-26,002365,39.6,40.71,40.9,39.58,10997,44545321.72,3.33,2.57,1.02,5.85,1.3200000000000003
2010-04-27,002365,40.61,39.34,40.61,38.62,10140,40054167.27,4.89,-3.37,-1.37,5.39,1.990000000000002
2010-04-28,002365,39.2,39.68,39.97,38.78,5512,21725663.53,3.02,0.86,0.34,2.93,1.1899999999999977
2010-04-29,002365,39.68,39.86,40.78,39.68,8502,34186417.03,2.77,0.45,0.18,4.52,1.1000000000000014
2010-04-30,002365,39.71,37.22,39.8,37.01,10758,40531829.43,7.0,-6.62,-2.64,5.72,2.789999999999999
2010-05-04,002365,36.4,37.0,37.19,36.0,5058,18588730.07,3.2,-0.59,-0.22,2.69,1.1899999999999977
2010-05-05,002365,36.61,37.78,37.89,36.5,5126,19237265.29,3.76,2.11,0.78,2.73,1.3900000000000006
2010-05-06,002365,37.77,37.3,37.91,37.26,6620,24887684.25,1.72,-1.27,-0.48,3.52,0.6499999999999986
2010-05-07,002365,36.98,36.72,37.23,36.2,6759,24851172.43,2.76,-1.55,-0.58,3.6,1.029999999999994
2010-05-10,002365,36.65,35.1,37.06,34.88,8167,28934474.3,5.94,-4.41,-1.62,4.34,2.1799999999999997
2010-05-11,002365,35.51,33.63,35.75,33.61,6532,22727454.89,6.1,-4.19,-1.47,3.47,2.1400000000000006
2010-05-12,002365,33.5,32.28,33.5,31.67,9935,32282499.83,5.44,-4.01,-1.35,5.28,1.8299999999999983
2010-05-13,002365,32.28,33.25,33.4,31.69,6929,22468507.37,5.3,3.0,0.97,3.69,1.7099999999999973
