日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率,volatility
2017-11-10,603083,18.06,21.67,21.67,18.06,119,254436.0,23.99,43.99,6.62,0.05,3.610000000000003
2017-11-13,603083,23.84,23.84,23.84,23.84,20,47132.0,0.0,10.01,2.17,0.01,0.0
2017-11-14,603083,26.22,26.22,26.22,26.22,12,31674.0,0.0,9.98,2.38,0.0,0.0
2017-11-15,603083,28.84,28.84,28.84,28.84,51,147661.0,0.0,9.99,2.62,0.02,0.0
2017-11-16,603083,31.72,31.72,31.72,31.72,63,198377.0,0.0,9.99,2.88,0.03,0.0
2017-11-17,603083,34.89,34.89,34.89,34.89,174,607086.0,0.0,9.99,3.17,0.07,0.0
2017-11-20,603083,38.38,38.38,38.38,38.38,330,1265964.0,0.0,10.0,3.49,0.13,0.0
2017-11-21,603083,42.22,42.22,42.22,42.22,420,1773704.0,0.0,10.01,3.84,0.17,0.0
2017-11-22,603083,46.44,46.44,46.44,46.44,1964,9122952.0,0.0,10.0,4.22,0.8,0.0
2017-11-23,603083,51.08,51.08,51.08,51.08,1627,8313015.0,0.0,9.99,4.64,0.67,0.0
2017-11-24,603083,55.09,56.19,56.19,53.1,136838,760588736.0,6.05,10.0,5.11,55.93,3.0899999999999963
2017-11-27,603083,54.0,50.62,55.89,50.57,138846,730928000.0,9.47,-9.91,-5.57,56.75,5.32
2017-11-28,603083,49.21,53.91,55.68,48.23,138096,736140096.0,14.72,6.5,3.29,56.44,7.450000000000003
2017-11-29,603083,52.6,50.16,53.22,48.52,121538,614427936.0,8.72,-6.96,-3.75,49.67,4.699999999999996
2017-11-30,603083,50.2,50.37,52.22,48.1,106340,532546976.0,8.21,0.42,0.21,43.46,4.119999999999997
2017-12-01,603083,49.5,47.38,49.79,47.0,89294,430043744.0,5.54,-5.94,-2.99,36.49,2.789999999999999
2017-12-04,603083,45.97,42.64,45.97,42.64,68542,299378992.0,7.03,-10.0,-4.74,28.01,3.3299999999999983
2017-12-05,603083,41.1,39.95,41.83,39.3,61010,248274734.0,5.93,-6.31,-2.69,24.93,2.530000000000001
2017-12-06,603083,40.3,41.55,41.86,40.0,51830,213191502.0,4.66,4.01,1.6,21.18,1.8599999999999994
2017-12-07,603083,41.06,41.56,42.59,39.52,57807,238638099.0,7.39,0.02,0.01,23.63,3.0700000000000003
2017-12-08,603083,40.8,43.71,45.51,40.52,77030,336641696.0,12.01,5.17,2.15,31.48,4.989999999999995
2017-12-11,603083,43.25,43.97,45.38,43.22,57804,256394630.0,4.94,0.59,0.26,23.62,2.1600000000000037
2017-12-12,603083,43.26,40.75,43.26,40.57,55745,233529858.0,6.12,-7.32,-3.22,22.78,2.6899999999999977
2017-12-13,603083,41.22,43.58,44.48,40.25,61499,264560172.0,10.38,6.94,2.83,25.13,4.229999999999997
2017-12-14,603083,43.6,44.63,45.27,42.86,63279,279069856.0,5.53,2.41,1.05,25.86,2.4100000000000037
2017-12-15,603083,43.86,43.87,45.38,43.0,46011,202680277.0,5.33,-1.7,-0.76,18.8,2.3800000000000026
2017-12-18,603083,44.05,43.26,44.97,42.68,34896,152701750.0,5.22,-1.39,-0.61,14.26,2.289999999999999
2017-12-19,603083,42.96,44.09,44.25,42.08,44856,193486230.0,5.02,1.92,0.83,18.33,2.1700000000000017
2017-12-20,603083,43.5,41.93,43.69,41.75,38938,165247568.0,4.4,-4.9,-2.16,15.91,1.9399999999999977
2017-12-21,603083,41.44,43.39,44.13,40.65,55111,235620337.0,8.3,3.48,1.46,22.52,3.480000000000004
2017-12-22,603083,43.01,42.33,43.5,42.28,34125,146275320.0,2.81,-2.44,-1.06,13.95,1.2199999999999989
2017-12-25,603083,41.72,42.31,42.58,40.88,29996,124973170.0,4.02,-0.05,-0.02,12.26,1.6999999999999957
2017-12-26,603083,42.59,46.54,46.54,42.59,83125,379870800.0,9.34,10.0,4.23,33.97,3.9499999999999957
2017-12-27,603083,47.15,46.7,48.56,46.1,102151,481634752.0,5.29,0.34,0.16,41.75,2.460000000000001
2017-12-28,603083,45.1,48.0,48.56,45.1,77072,363302976.0,7.41,2.78,1.3,31.5,3.460000000000001
2017-12-29,603083,47.1,47.29,48.28,46.75,54803,260397086.0,3.19,-1.48,-0.71,22.4,1.5300000000000011
2018-01-02,603083,47.5,47.73,48.5,47.0,42222,201715450.0,3.17,0.93,0.44,17.26,1.5
2018-01-03,603083,47.31,46.1,47.65,45.7,51912,240543665.0,4.09,-3.42,-1.63,21.22,1.9499999999999957
2018-01-04,603083,45.91,46.44,47.47,45.51,45168,210278081.0,4.25,0.74,0.34,18.46,1.9600000000000009
2018-01-05,603083,46.0,44.5,46.6,44.45,45046,203740958.0,4.63,-4.18,-1.94,18.41,2.1499999999999986
2018-01-08,603083,44.57,45.08,45.13,43.06,39729,175066358.0,4.65,1.3,0.58,16.24,2.0700000000000003
2018-01-09,603083,44.9,47.15,48.0,44.3,60722,280335040.0,8.21,4.59,2.07,24.82,3.700000000000003
2018-01-10,603083,46.11,45.9,46.66,44.63,42615,195430189.0,4.31,-2.65,-1.25,17.42,2.029999999999994
2018-01-11,603083,45.07,49.44,50.49,44.62,119696,592701152.0,12.79,7.71,3.54,48.92,5.8700000000000045
2018-01-12,603083,47.09,47.42,48.55,47.07,75539,360871120.0,2.99,-4.09,-2.02,30.87,1.4799999999999969
2018-01-15,603083,46.8,45.84,47.1,44.68,50451,230259625.0,5.1,-3.33,-1.58,20.62,2.4200000000000017
2018-01-16,603083,45.02,47.84,50.3,45.02,74948,362007248.0,11.52,4.36,2.0,30.63,5.279999999999994
2018-01-17,603083,49.0,50.86,52.4,48.12,84301,424279456.0,8.95,6.31,3.02,34.45,4.280000000000001
2018-01-18,603083,48.99,49.19,50.06,48.46,51228,252755674.0,3.15,-3.28,-1.67,20.94,1.6000000000000014
2018-01-19,603083,49.12,48.43,51.87,47.59,58064,290632960.0,8.7,-1.55,-0.76,23.73,4.279999999999994
2018-01-22,603083,47.1,46.89,47.81,45.55,50699,236164244.0,4.67,-3.18,-1.54,20.72,2.260000000000005
2018-01-23,603083,47.0,47.88,48.35,46.6,34552,164225612.0,3.73,2.11,0.99,14.12,1.75
2018-01-24,603083,47.87,49.07,49.49,47.05,42204,205399172.0,5.1,2.49,1.19,17.25,2.440000000000005
2018-01-25,603083,48.55,46.99,50.22,46.86,47916,233449244.0,6.85,-4.24,-2.08,19.58,3.3599999999999994
2018-01-26,603083,46.49,45.39,47.62,45.2,43917,202693137.0,5.15,-3.4,-1.6,17.95,2.4199999999999946
2018-01-29,603083,45.01,45.77,45.84,44.0,31597,142469205.0,4.05,0.84,0.38,12.91,1.8400000000000034
2018-01-30,603083,45.5,44.67,45.9,44.21,19168,86093341.0,3.69,-2.4,-1.1,7.83,1.6899999999999977
2018-01-31,603083,44.22,40.23,44.6,40.2,42014,176334911.0,9.85,-9.94,-4.44,17.17,4.399999999999999
2018-02-01,603083,40.38,39.41,40.86,38.88,25562,101794388.0,4.92,-2.04,-0.82,10.45,1.9799999999999969
2018-02-02,603083,39.78,39.52,40.13,38.56,19002,74952532.0,3.98,0.28,0.11,7.77,1.5700000000000003
2018-02-05,603083,38.06,38.21,40.1,37.81,17147,66841458.0,5.79,-3.31,-1.31,7.01,2.289999999999999
2018-02-06,603083,36.24,34.39,37.3,34.39,24897,88907383.0,7.62,-10.0,-3.82,10.18,2.9099999999999966
2018-02-07,603083,35.1,34.75,35.68,33.08,25560,88806816.0,7.56,1.05,0.36,10.45,2.6000000000000014
2018-02-08,603083,34.8,35.7,36.59,34.36,23659,84936799.0,6.42,2.73,0.95,9.67,2.230000000000004
2018-02-09,603083,34.0,34.0,35.36,33.35,21143,72410122.0,5.63,-4.76,-1.7,8.64,2.009999999999998
2018-02-12,603083,34.78,35.12,35.47,34.41,17631,61854513.0,3.12,3.29,1.12,7.21,1.0600000000000023
2018-02-13,603083,35.43,34.61,35.5,34.38,16641,58042744.0,3.19,-1.45,-0.51,6.8,1.1199999999999974
2018-02-14,603083,34.79,34.4,34.86,34.36,9265,32002339.0,1.44,-0.61,-0.21,3.79,0.5
2018-02-22,603083,34.85,35.19,35.51,34.51,14323,50283173.0,2.91,2.3,0.79,5.85,1.0
2018-02-23,603083,35.3,36.58,36.89,34.95,23724,85099259.0,5.51,3.95,1.39,9.7,1.9399999999999977
2018-02-26,603083,37.4,37.88,38.4,37.1,29166,110099585.0,3.55,3.55,1.3,11.92,1.2999999999999972
2018-02-27,603083,37.9,38.89,40.61,37.52,37407,146843124.0,8.16,2.67,1.01,15.29,3.0899999999999963
2018-02-28,603083,38.5,38.37,39.8,37.76,29216,113488201.0,5.25,-1.34,-0.52,11.94,2.039999999999999
2018-03-01,603083,37.8,42.21,42.21,37.54,39240,159582943.0,12.17,10.01,3.84,16.04,4.670000000000002
2018-03-02,603083,46.09,44.22,46.43,43.2,106887,485096464.0,7.65,4.76,2.01,43.68,3.229999999999997
2018-03-05,603083,45.5,46.02,46.36,43.44,96360,433696912.0,6.6,4.07,1.8,39.38,2.9200000000000017
2018-03-06,603083,44.9,47.0,47.86,44.05,95058,435900080.0,8.28,2.13,0.98,38.85,3.8100000000000023
2018-03-07,603083,46.44,46.22,50.05,46.0,83212,395213232.0,8.62,-1.66,-0.78,34.01,4.049999999999997
2018-03-08,603083,45.52,46.63,48.15,45.38,73569,344548448.0,5.99,0.89,0.41,30.07,2.769999999999996
